label,filename
Up, 00
Up, 01
Up, 02
Up, 03
Up, 04
Up, 05
Up, 06
Up, 07
Up, 08
Up, 09
Up, 10
Up, 11
Up, 12
Up, 13
Up, 14
Up, 15
Up, 16
Down, 00
Down, 01
Down, 02
Down, 03
Down, 04
Down, 05
Down, 06
Down, 07
Down, 08
Down, 09
Down, 10
Down, 11
Down, 12
Down, 13
Down, 14
Down, 15
Down, 16
Left, 00
Left, 01
Left, 02
Left, 03
Left, 04
Left, 05
Left, 06
Left, 07
Left, 08
Left, 09
Left, 10
Left, 11
Left, 12
Left, 13
Left, 14
Left, 15
Left, 16
Right, 00
Right, 01
Right, 02
Right, 03
Right, 04
Right, 05
Right, 06
Right, 07
Right, 08
Right, 09
Right, 10
Right, 11
Right, 12
Right, 13
Right, 14
Right, 15
Right, 16
Neutral, 00
Neutral, 01
Neutral, 02
Neutral, 03
Neutral, 04
Neutral, 05
Neutral, 06
Neutral, 07
Neutral, 08
Neutral, 09
Neutral, 10
Neutral, 11
Neutral, 12
Neutral, 13
Neutral, 14
Neutral, 15
Neutral, 16
Clap, 00
Clap, 01
Clap, 02
Clap, 03
Clap, 04
Clap, 05
Clap, 06
Clap, 07
Clap, 08
Clap, 09
Clap, 10
Clap, 11
Clap, 12
Clap, 13
Clap, 14
Clap, 15
Clap, 16